Country,Date,New Cases,New Deaths,Total Vaccinations,Stringency Index
Australia,2023-07-17,6495.0,-76.0,,
Canada,2022-06-18,23312.0,-331.0,86029705.0,18.79
China,2023-05-27,0.0,-62.0,,
China,2024-01-13,0.0,-30.0,,
India,2022-11-15,-749.0,1.0,2198123903.0,31.48
Japan,2023-04-04,3215.0,-14.0,383456515.0,
South Korea,2023-04-04,9499.0,-7.0,,
United States,2022-03-16,60969.0,-2437.0,565100185.0,38.31
